CookerStat, GenerateAssetRegistry=0.023544, Initialize=0.125576, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
SavePackageTransactionId43AA8CC74565FA47DE2BD6B92F503B0A_0, Filename=D:/Unreal4Projects_LJS/MyStudy_LJS/Content/TwinStickShooter/Map/TSSMap.umap, AutoPackageBackupDelegate=0.307295, FlushAsyncLoading=0.006944, FlushStreamingFunc=0.114102, BlockTillAllRequestsFinished=0.018716, ResetLoadersForSaveUnMarkAllObjects=0.303973, TagPackageExports=0.099614, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.686128, GatherLocalizableTextData=0.671946, MarkNames=0.009961, SerializeSummary=0.014789, SerializeNames=0.063088, SerializeGatherableTextData=0.001509, BuildExportMap=0.025962, SortExportsNonSeekfree=0.018716, SortExportsSeekfreeConstructor=0.067618, SortExportsSeekfreeInner=3.755446, SortExportsSeekfree=0.006642, BuildDependencyMap=0.018112, SerializeImportMap=0.013888, SerializeExportMap=0.010867, SerializeDependencyMap=0.001810, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.348952, SerializeExports=1.297098, SerializeBulkData=0.016600, MoveFile=1.065869, UnaccountedTime=0.083916, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E6C7715141BD627BF3A7688F593C1B28__1_0_13123_0, StartTime=2016.06.03-22.57.50, HierarchicalDDC=, DataSize=451, Duration=4.079346, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E3C306C420812CBFEACF0BDB4C20144__1_0_13123_0, StartTime=2016.06.03-22.57.50, HierarchicalDDC=, DataSize=347, Duration=3.821857, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A044D084408BF3752E5E0D8DBA5F0EB2__1_0_13123_0, StartTime=2016.06.03-22.57.54, HierarchicalDDC=, DataSize=347, Duration=3.675453, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5FDEDF11472387A1BDEFBDAB3AC908FE__1_0_13123_0, StartTime=2016.06.03-22.57.54, HierarchicalDDC=, DataSize=347, Duration=3.487702, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7B7158024588CBC466193A80AC98DA7D__1_0_13123_0, StartTime=2016.06.03-22.57.54, HierarchicalDDC=, DataSize=437, Duration=10.507166, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8A362BA242279D4F0824B4B32DE49F0B__1_0_13123_0, StartTime=2016.06.03-22.57.56, HierarchicalDDC=, DataSize=347, Duration=3.702626, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10DA0E1C476B3358E7F713B55B85CDFE__1_0_13123_0, StartTime=2016.06.03-22.57.56, HierarchicalDDC=, DataSize=347, Duration=3.484078, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_388E79504B054D15A0C07D85549C7C00__1_0_13123_0, StartTime=2016.06.03-22.57.56, HierarchicalDDC=, DataSize=437, Duration=3.595162, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14B5E8184346FABDE9FB42BC9AD97A39__1_0_13123_0, StartTime=2016.06.03-22.58.15, HierarchicalDDC=, DataSize=347, Duration=5.057070, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AE5BCFE94C8E2F7DA84E668DF62182E8__1_0_13123_0, StartTime=2016.06.03-22.58.15, HierarchicalDDC=, DataSize=347, Duration=5.037453, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4E94F7DC4B6EC785AC9112A1DBF3074D__1_0_13123_0, StartTime=2016.06.03-22.58.15, HierarchicalDDC=, DataSize=437, Duration=4.031952, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3971E92147E286F643900D80E4D713FB__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=473, Duration=4.328683, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_035AEF744B17FB2B745673B0E7499634__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=397, Duration=4.498932, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2023A0824698EAC0D808089D0B7DBE00__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=461, Duration=20.999849, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E39211946142D19D3CD0BB95557AB9E__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=437, Duration=17.821257, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
